size,code,brand,model,factory price,DOT#1-1,DOT#1-2,DOT#2-1,DOT#2-2,DOT#3,DOT#4-1,DOT#4-2,DOT#5-1,DOT#5-2,DOT#9,제품명
2754020,TBALENZA00120,브리지스톤,알렌자 001 RFT,"732,050",,,,,,,,,,,275/40R20 (브리지스톤) 알렌자 001 RFT
3054020,TBALENZA00121,브리지스톤,알렌자 001 RFT,"772,640",,,,,,,,,,,305/40R20 (브리지스톤) 알렌자 001 RFT
2755020,TBALENZA00122,브리지스톤,알렌자 001 RET,"701,360",,,,,,,,,,,275/50R20 (브리지스톤) 알렌자 001 RET
2455019,TBALENZA00123,브리지스톤,알렌자 001 RFT,"568,700",,,,,,,,,,,245/50R19 (브리지스톤) 알렌자 001 RFT
2754520,TBALENZA00124,브리지스톤,알렌자 001 RFT,"721,160",,,,,,,,,,,275/45R20 (브리지스톤) 알렌자 001 RFT
2355519,TBALENZA00126,브리지스톤,알렌자 001 폼,"342,100",,,,,,,,,,,235/55R19 (브리지스톤) 알렌자 001 폼
2454520,TBALENZA00127,브리지스톤,알렌자 001,"495,880",,,,,,,,,,,245/45R20 (브리지스톤) 알렌자 001
2455019,TBALENZA00128,브리지스톤,알렌자 001,"446,270",,,,,,,,,,,245/50R19 (브리지스톤) 알렌자 001
2754020,TBALENZA00130,브리지스톤,알렌자 001,"550,440",,,,,,,,,,,275/40R20 (브리지스톤) 알렌자 001
2755020,TBALENZA00131,브리지스톤,알렌자 001,"456,500",,,,,,,,,,,275/50R20 (브리지스톤) 알렌자 001
2454519,TBALENZA00133,브리지스톤,알렌자 001,"570,900",,,,,,,,,,,245/45R19 (브리지스톤) 알렌자 001
2655020,TBALENZA00135,브리지스톤,알렌자 001,"616,440",,,,,,,,,,,265/50R20 (브리지스톤) 알렌자 001
2555520,TBALENZA00136,브리지스톤,알렌자 001,"583,550",,,,,,,,,,,255/55R20 (브리지스톤) 알렌자 001
2654520,TBALENZA00137,브리지스톤,알렌자 001,"621,610",,,,,,,,,,,265/45R20 (브리지스톤) 알렌자 001
2554520,TBALENZA00138,브리지스톤,알렌자 001,"608,850",,,,,,,,,,,255/45R20 (브리지스톤) 알렌자 001
2754520,TBALENZA00139,브리지스톤,알렌자 001,"613,910",,,,,,,,,,,275/45R20 (브리지스톤) 알렌자 001
2954021,TBALENZA00140,브리지스톤,알렌자 001,"664,730",,,,,,,,,,,295/40R21 (브리지스톤) 알렌자 001
2555519,TBALENZA00141,브리지스톤,알렌자 001,"572,110",,,,,,,,,,,255/55R19 (브리지스톤) 알렌자 001
2555518,TBALENZA00142,브리지스톤,알렌자 001,"443,960",,,,,,,,,,,255/55R18 (브리지스톤) 알렌자 001
2454520,TBALENZA00143,브리지스톤,알렌자 001,"633,160",,,,,,,,,,,245/45R20 (브리지스톤) 알렌자 001
2555019,TBALENZA00144,브리지스톤,알렌자 001,"572,660",,,,,,,,,,,255/50R19 (브리지스톤) 알렌자 001
2455020,TBALENZA00145,브리지스톤,알렌자 001,"596,970",,,,,,,,,,,245/50R20 (브리지스톤) 알렌자 001
2355519,TBALENZA00146,브리지스톤,알렌자 001,"478,500",,,,,,,,,,,235/55R19 (브리지스톤) 알렌자 001
2954020,TBALENZA00147,브리지스톤,알렌자 001,"665,610",,,,,,,,,,,295/40R20 (브리지스톤) 알렌자 001
2754521,TBALENZA00148,브리지스톤,알렌자 001,"644,820",,,,,,,,,,,275/45R21 (브리지스톤) 알렌자 001
2555020,TBALENZA00149,브리지스톤,알렌자 001,"621,610",,,,,,,,,,,255/50R20 (브리지스톤) 알렌자 001
2255018,TBALENZA00150,브리지스톤,알렌자 001 RFT,"499,290",,,,,,,,,,,225/50R18 (브리지스톤) 알렌자 001 RFT
2256517,TBALENZA00151,브리지스톤,알렌자 001,"335,390",,,,,,,,,,,225/65R17 (브리지스톤) 알렌자 001
,TBALENZAS00,#N/A,#N/A,0,,,,,,,,,,,< 알렌자 스포츠 AS >
2355021,TBALENZASAS01,브리지스톤,알렌자 스포츠 AS,"593,340",,,,,,,,,,,235/50R21 (브리지스톤) 알렌자 스포츠 AS
2356019,TBALENZASAS02,브리지스톤,알렌자 스포츠 AS,"591,250",,,,,,,,,,,235/60R19 (브리지스톤) 알렌자 스포츠 AS
2355520,TBALENZASAS03,브리지스톤,알렌자 스포츠 AS,"568,810",,,,,,,,,,,235/55R20 (브리지스톤) 알렌자 스포츠 AS
2555020,TBALENZASAS04,브리지스톤,알렌자 스포츠 AS,"714,670",,,,,,,,,,,255/50R20 (브리지스톤) 알렌자 스포츠 AS
2555020,TBALENZASAS05,브리지스톤,알렌자 스포츠 AS,"714,670",,,,,,,,,,,255/50R20 (브리지스톤) 알렌자 스포츠 AS
2854521,TBALENZASAS06,브리지스톤,알렌자 스포츠 AS,"744,590",,,,,,,,,,,285/45R21 (브리지스톤) 알렌자 스포츠 AS
3154021,TBALENZASAS07,브리지스톤,알렌자 스포츠 AS,"781,550",,,,,,,,,,,315/40R21 (브리지스톤) 알렌자 스포츠 AS
,TBD3300,#N/A,#N/A,0,,,,,,,,,,,< D33 >
2355518,TBD3301,브리지스톤,D33 Lexus NX,"439,560",,,,,,,,,,,235/55R18 (브리지스톤) D33 Lexus NX
,TBD40000,#N/A,#N/A,0,,,,,,,,,,,< D400 듀얼러 >
2654521,TBD40001,브리지스톤,D400 듀얼러,"825,880",,,,,,,,,,,265/45R21 (브리지스톤) D400 듀얼러
2356018,TBD40006,브리지스톤,D400,"226,050",,,,,,,,,,,235/60R18 (브리지스톤) D400
,TBD68500,#N/A,#N/A,0,,,,,,,,,,,< D685 듀얼러 >
2557018,TBD68501,브리지스톤,D685 듀얼러,"453,640",,,,,,,,,,,255/70R18 (브리지스톤) D685 듀얼러
,TBD68700,#N/A,#N/A,0,,,,,,,,,,,< D687 듀얼러 HT >
2355518,TBD68703,브리지스톤,D687 듀얼러 HT,"497,420",,,,,,,,,,,235/55R18 (브리지스톤) D687 듀얼러 HT
,TBDALN00,#N/A,#N/A,0,,,,,,,,,,,< 듀얼러 HL 알렌자 >
2854522,TBDALN01,브리지스톤,듀얼러 HL 알렌자,"702,460",,,,,,,,,,,285/45R22 (브리지스톤) 듀얼러 HL 알렌자
,TBDHL40000,#N/A,#N/A,0,,,,,,,,,,,< HL400 듀얼러 >
2355519,TBDHL40002,브리지스톤,HL400 듀얼러,"262,570",,,,,,,,,,,235/55R19 (브리지스톤) HL400 듀얼러
2356018,TBDHL40004,브리지스톤,HL400 듀얼러,"226,050",,,,,,,,,,,235/60R18 (브리지스톤) HL400 듀얼러
2755020,TBDHL40005,브리지스톤,HL400 듀얼러,"445,060",,,,,,,,,,,275/50R20 (브리지스톤) HL400 듀얼러
,TBDHPA00,#N/A,#N/A,0,,,,,,,,,,,< DHPA 듀얼러 HP 스포츠 >
3153520,TBDHPA01,브리지스톤,DHPA HP스포츠 RFT,"961,620",,,,,,,,,,,315/35R20 (브리지스톤) DHPA HP스포츠 RFT
2754020,TBDHPA02,브리지스톤,DHPA HP스포츠 RFT,"887,150",,,,,,,,,,,275/40R20 (브리지스톤) DHPA HP스포츠 RFT
2854519,TBDHPA03,브리지스톤,DHPA HP스포츠 RFT,"918,280",,,,,,,,,,,285/45R19 (브리지스톤) DHPA HP스포츠 RFT
2355519,TBDHPA05,브리지스톤,DHPA HP스포츠,"559,240",,,,,,,,,,,235/55R19 (브리지스톤) DHPA HP스포츠
2555019,TBDHPA08,브리지스톤,DHPA HP스포츠 RFT,"704,000",,,,,,,,,,,255/50R19 (브리지스톤) DHPA HP스포츠 RFT
2554520,TBDHPA12,브리지스톤,DHPA HP스포츠 AO,"669,020",,,,,,,,,,,255/45R20 (브리지스톤) DHPA HP스포츠 AO
2555519,TBDHPA13,브리지스톤,DHPA HP스포츠 AO,"612,370",,,,,,,,,,,255/55R19 (브리지스톤) DHPA HP스포츠 AO
2754520,TBDHPA20,브리지스톤,DHPA HP스포츠 N0,"703,560",,,,,,,,,,,275/45R20 (브리지스톤) DHPA HP스포츠 N0
3054020,TBDHPA21,브리지스톤,DHPA HP스포츠 N0,"794,310",,,,,,,,,,,305/40R20 (브리지스톤) DHPA HP스포츠 N0
2555519,TBDHPA24,브리지스톤,DHPA HP스포츠 N0,"650,320",,,,,,,,,,,255/55R19 (브리지스톤) DHPA HP스포츠 N0
2755019,TBDHPA25,브리지스톤,DHPA HP스포츠 N0,"676,830",,,,,,,,,,,275/50R19 (브리지스톤) DHPA HP스포츠 N0
2854021,TBDHPA29,브리지스톤,DHPA HP스포츠 N0,"766,920",,,,,,,,,,,285/40R21 (브리지스톤) DHPA HP스포츠 N0
3153521,TBDHPA30,브리지스톤,DHPA HP스포츠 N0,"817,080",,,,,,,,,,,315/35R21 (브리지스톤) DHPA HP스포츠 N0
,TBDHPS00,#N/A,#N/A,0,,,,,,,,,,,< DHPS 듀얼러 HP 스포츠 >
2355517,TBDHPS03,브리지스톤,DHPS HP스포츠,"507,650",,,,,,,,,,,235/55R17 (브리지스톤) DHPS HP스포츠
2056016,TBDHPS06,브리지스톤,DHPS HP스포츠,"266,750",,,,,,,,,,,205/60R16 (브리지스톤) DHPS HP스포츠
2254519,TBDHPS09,브리지스톤,DHPS HP스포츠,"557,480",,,,,,,,,,,225/45R19 (브리지스톤) DHPS HP스포츠
2355519,TBDHPS15,브리지스톤,DHPS HP스포츠 RFT,"525,250",,,,,,,,,,,235/55R19 (브리지스톤) DHPS HP스포츠 RFT
2554520,TBDHPS17,브리지스톤,DHPS HP스포츠 RFT,"699,270",,,,,,,,,,,255/45R20 (브리지스톤) DHPS HP스포츠 RFT
2854520,TBDHPS18,브리지스톤,DHPS HP스포츠,"729,960",,,,,,,,,,,285/45R20 (브리지스톤) DHPS HP스포츠
2354519,TBDHPS26,브리지스톤,DHPS HP스포츠,"531,080",,,,,,,,,,,235/45R19 (브리지스톤) DHPS HP스포츠
